id,prenom,nom,genre,orientation,age,email,username,password,ville,pays,hobby1,hobby2,hobby3,taille,poids
1,Josette,Legros,Femme,Hétérosexuel.le,24,josette.legros.6943.6267@gmail.com,JosetteLegros43511781,5dfdb48612b04c75dfe09eeabdad447851b655daaff00d8f306058377fdab47d,Lille,France,jeux vidéo,voyage,,160.1,46.3
2,Marc,Gosselin,Homme,Hétérosexuel.le,32,marc.gosselin.8060.972@hotmail.com,MarcGosselin7834320,4ac8f5ac1175624b36f4050ca31d777caf1aeab258ff9ad602ebca12741c2ad5,Vancouver,Canada,théâtre,soirées,,190.7,93.8
3,William,Goncalves,Homme,Hétérosexuel.le,30,william.goncalves.1639.8929@tiscali.fr,WilliamGoncalves14634631,ee8694f57323e66d5eab9038737eb0a6657bc28deccb0bd163245ac33835331a,Montpellier,France,cinéma,photographie,,195.9,75.7
4,Emmanuel,Valette,Homme,Homosexuel.le,38,emmanuel.valette.7674.5828@sfr.fr,EmmanuelValette44724072,a2a124e5f6e6424523567a04dac93e91d5b0c99978d5467cb41850e9af9dd229,Strasbourg,France,sport,randonnée,lecture,180.7,65.0
5,Thibaut,Gilles,Homme,Hétérosexuel.le,21,thibaut.gilles.4903.4941@live.com,ThibautGilles24225723,8d674e87c20aff33d0300a3c4d952d5d992c8977b4e3568ec925f42656c09be5,Lyon,France,cinéma,animaux,,173.5,76.0
6,David,Samson,Homme,Hétérosexuel.le,43,david.samson.1963.1255@dbmail.com,DavidSamson2463565,dbaedfd9431e893bc52b44277748a8b440d9149fcc34a7dbb34b4456d96a1d18,Bordeaux,France,cinéma,soirées,dessin,167.4,101.1
7,Manon,Guillou,Femme,Hétérosexuel.le,19,manon.guillou.1303.5086@bouygtel.fr,ManonGuillou6627058,ac78e4394d1e440872552f52aaedf9b35a3b46219460e76875811592957248f4,Bordeaux,France,théâtre,musique,cinéma,179.6,53.3
8,Émile,Couturier,Homme,Hétérosexuel.le,20,émile.couturier.4512.1461@voila.fr,ÉmileCouturier6592032,141799ca9a089abf1c1e907beb054e8320c973e1277585b4bfb3136fb15fc8f3,Montpellier,France,cuisine,yoga,,173.6,61.2
9,Alex,Diallo,Femme,Autre,29,alex.diallo.8199.6672@wanadoo.fr,AlexDiallo54703728,007611aa33cb0574b2967d0d8e26fa5f0322c4e78a9233a70878a56591981287,Lyon,France,jeu de société,photographie,,183.6,88.7
10,Mathilde,Leclercq,Femme,Hétérosexuel.le,23,mathilde.leclercq.8184.7216@orange.fr,MathildeLeclercq59055744,c0254f07ea9fa84758b9068133a1999467a476f97f6927f34670ffab689c0dd2,Montpellier,France,voyage,yoga,danse,157.5,49.9
